hour,min,sec,ra,deg,arcmin,arcsec,dec,f100,f60,ratio,Temp,planck,Mass
4,1,33.73,60.39054167,-73,48,27.1,-73.80752778,6.4707,0.4248,0.065649775,18.19026142,1.45623E-16,1.75401E+25
4,1,29.41,60.37254167,-73,47,2.9,-73.78413889,6.3754,0.3911,0.06134517,17.95947797,1.31541E-16,1.91318E+25
4,1,26.05,60.35854167,-73,45,33,-73.75916667,6.1778,0.3569,0.057771375,17.76005065,1.20218E-16,2.02849E+25
4,2,20.98,60.58741667,-74,4,32.1,-74.07558333,5.2765,0.1574,0.02983038,15.82498604,4.46238E-17,4.66753E+25
4,2,18.89,60.57870833,-74,3,6.2,-74.05172222,5.2477,0.1817,0.034624693,16.22357079,5.57971E-17,3.7125E+25
4,2,17.17,60.57154167,-74,1,30,-74.025,5.3324,0.2132,0.039981997,16.62782763,6.92289E-17,3.04049E+25
4,2,16.24,60.56766667,-73,59,53.2,-73.99811111,5.5761,0.2582,0.046304765,17.0616967,8.6276E-17,2.55123E+25
4,2,15.1,60.56291667,-73,58,30,-73.975,5.7694,0.3171,0.054962388,17.59777759,1.1156E-16,2.04141E+25
4,2,13.02,60.55425,-73,57,4.2,-73.95116667,5.9143,0.3157,0.053379098,17.50398897,1.06776E-16,2.18644E+25
4,2,6.9,60.52875,-73,55,38,-73.92722222,5.9659,0.2779,0.046581404,17.07977791,8.705E-17,2.7053E+25
4,2,4.56,60.519,-73,54,5.6,-73.90155556,6.008,0.3004,0.05,17.29773241,9.68027E-17,2.44991E+25
4,2,3.62,60.51508333,-73,52,37.2,-73.877,6.1994,0.3465,0.055892506,17.65207833,1.14403E-16,2.13904E+25
4,2,0.2,60.50083333,-73,51,7.4,-73.85205556,6.3435,0.3796,0.059840782,17.87644251,1.26733E-16,1.97582E+25
4,1,55.37,60.48070833,-73,49,41.9,-73.82830556,6.5069,0.3978,0.061135103,17.94796039,1.30866E-16,1.96271E+25
4,1,53.62,60.47341667,-73,48,22.5,-73.80625,6.4821,0.4217,0.065056078,18.15900329,1.43652E-16,1.7812E+25
4,1,52.24,60.46766667,-73,46,52.9,-73.78136111,6.4235,0.3751,0.058394956,17.79539561,1.22169E-16,2.07548E+25
4,1,50.41,60.46004167,-73,45,21.8,-73.75605556,6.2872,0.3429,0.054539382,17.57288973,1.10275E-16,2.25054E+25
4,2,40.33,60.66804167,-74,1,19.6,-74.02211111,5.343,0.206,0.038555119,16.52382019,6.55577E-17,3.21714E+25
4,2,38.68,60.66116667,-73,59,55.1,-73.99863889,5.5474,0.284,0.051195154,17.3716715,1.00293E-16,2.18337E+25
4,2,34.72,60.64466667,-73,58,23.9,-73.97330556,5.7671,0.3378,0.058573633,17.80547932,1.2273E-16,1.85487E+25
4,2,31.97,60.63320833,-73,57,1.9,-73.95052778,5.8387,0.3414,0.05847192,17.79974148,1.22411E-16,1.8828E+25
4,2,29.6,60.62333333,-73,55,29.5,-73.92486111,5.9128,0.3045,0.051498444,17.39025903,1.01185E-16,2.30667E+25
4,2,26.41,60.61004167,-73,54,6.2,-73.90172222,5.9143,0.322,0.054444313,17.56727948,1.09987E-16,2.12261E+25
4,2,22.35,60.593125,-73,52,31.7,-73.87547222,6.1864,0.3499,0.05655955,17.6906698,1.16457E-16,2.09692E+25
4,2,18.62,60.57758333,-73,50,55.4,-73.84872222,6.3471,0.3818,0.060153456,17.89380751,1.27728E-16,1.96155E+25
4,2,16.88,60.57033333,-73,49,27.6,-73.82433333,6.4187,0.3929,0.061211772,17.95216687,1.31112E-16,1.93247E+25
4,2,14.46,60.56025,-73,48,12.1,-73.80336111,6.4357,0.4066,0.063178831,18.05898252,1.37481E-16,1.84783E+25
4,2,11.82,60.54925,-73,46,41.7,-73.77825,6.3794,0.3202,0.050192808,17.30973646,9.7363E-17,2.58639E+25
4,2,8.58,60.53575,-73,45,6.6,-73.75183333,6.2793,0.3108,0.049495963,17.266211,9.53432E-17,2.59974E+25
