F60,RA,DEC,F100,RA.1,DEC.1,F90,RA.2,DEC.2,F140,RA.3,DEC.3
2.896981239,69.99991522,42.32380618,13.5974884,69.99991522,42.32380618,9.629446983,69.99991522,42.32380618,34.88598251,69.99991522,42.32380618
2.896981239,69.97963192,42.3239492,13.5974884,69.97963192,42.3239492,9.582515717,69.97963192,42.3239492,34.82070923,69.97963192,42.3239492
2.978548765,69.95934843,42.32408863,13.67609596,69.95934843,42.32408863,10.31614494,69.95934843,42.32408863,34.94324493,69.95934843,42.32408863
2.975690365,69.93906474,42.3242245,14.12329102,69.93906474,42.3242245,9.007946968,69.93906474,42.3242245,34.72017288,69.93906474,42.3242245
2.975690365,69.91878086,42.32435679,14.12329102,69.91878086,42.32435679,8.768669128,69.91878086,42.32435679,34.5212059,69.91878086,42.32435679
3.090652466,69.89849679,42.32448551,14.61961174,69.89849679,42.32448551,9.986094475,69.89849679,42.32448551,36.50634384,69.89849679,42.32448551
3.090652466,69.87821254,42.32461065,14.61961174,69.87821254,42.32461065,10.70045567,69.87821254,42.32461065,39.64834213,69.87821254,42.32461065
3.072419405,69.85792812,42.32473222,15.10652256,69.85792812,42.32473222,12.00600243,69.85792812,42.32473222,40.3012085,69.85792812,42.32473222
3.128016949,69.83764353,42.32485021,15.27257633,69.83764353,42.32485021,11.48517132,69.83764353,42.32485021,40.66761017,69.83764353,42.32485021
3.128016949,69.81735877,42.32496463,15.27257633,69.81735877,42.32496463,9.25657177,69.81735877,42.32496463,38.91713333,69.81735877,42.32496463
3.060771704,69.79707385,42.32507547,15.74370003,69.79707385,42.32507547,10.38390923,69.79707385,42.32507547,38.64583588,69.79707385,42.32507547
3.060771704,69.77678878,42.32518274,15.74370003,69.77678878,42.32518274,11.01780796,69.77678878,42.32518274,39.72348785,69.77678878,42.32518274
2.935897112,69.75650355,42.32528643,14.81482697,69.75650355,42.32528643,10.5821085,69.75650355,42.32528643,39.01773453,69.75650355,42.32528643
2.840240002,69.73621818,42.32538655,14.29843903,69.73621818,42.32538655,9.712426186,69.73621818,42.32538655,36.52270126,69.73621818,42.32538655
2.840240002,69.71593267,42.3254831,14.29843903,69.71593267,42.3254831,10.38098717,69.71593267,42.3254831,36.56477356,69.71593267,42.3254831
2.769676208,69.69564703,42.32557607,13.80680656,69.69564703,42.32557607,10.46433926,69.69564703,42.32557607,37.10141754,69.69564703,42.32557607
2.769676208,69.67536126,42.32566546,13.80680656,69.67536126,42.32566546,10.01110077,69.67536126,42.32566546,35.22444534,69.67536126,42.32566546
2.700858831,69.65507536,42.32575128,13.22131062,69.65507536,42.32575128,9.549660683,69.65507536,42.32575128,35.22017288,69.65507536,42.32575128
2.652514458,69.63478934,42.32583353,12.98289394,69.63478934,42.32583353,9.12512207,69.63478934,42.32583353,33.58249283,69.63478934,42.32583353
2.652514458,69.61450321,42.32591219,12.98289394,69.61450321,42.32591219,9.270673752,69.61450321,42.32591219,34.26766205,69.61450321,42.32591219
2.586732388,69.59421697,42.32598729,12.71887302,69.59421697,42.32598729,9.377644539,69.59421697,42.32598729,33.98806763,69.59421697,42.32598729
2.586732388,69.57393062,42.3260588,12.71887302,69.57393062,42.3260588,9.525010109,69.57393062,42.3260588,33.94471741,69.57393062,42.3260588
2.591663599,69.55364418,42.32612675,12.60557079,69.55364418,42.32612675,9.043358803,69.55364418,42.32612675,33.51461029,69.55364418,42.32612675
2.673868656,69.53335764,42.32619111,12.65203667,69.53335764,42.32619111,8.638055801,69.53335764,42.32619111,32.79187393,69.53335764,42.32619111
2.673868656,69.51307101,42.3262519,12.65203667,69.51307101,42.3262519,8.379138947,69.51307101,42.3262519,32.44159317,69.51307101,42.3262519
2.755954027,69.4927843,42.32630912,12.74167156,69.4927843,42.32630912,8.337022781,69.4927843,42.32630912,32.94529343,69.4927843,42.32630912
2.755954027,69.47249751,42.32636276,12.74167156,69.47249751,42.32636276,8.938568115,69.47249751,42.32636276,32.92626572,69.47249751,42.32636276
2.799068689,69.45221065,42.32641282,13.19531536,69.45221065,42.32641282,9.183866501,69.45221065,42.32641282,31.22267342,69.45221065,42.32641282
2.800477028,69.43192371,42.32645931,13.32851505,69.43192371,42.32645931,9.359982491,69.43192371,42.32645931,34.41152191,69.43192371,42.32645931
2.800477028,69.41163672,42.32650222,13.32851505,69.41163672,42.32650222,9.559932709,69.41163672,42.32650222,35.2890625,69.41163672,42.32650222
2.873580933,69.39134966,42.32654156,13.3856144,69.39134966,42.32654156,9.579045296,69.39134966,42.32654156,36.25376129,69.39134966,42.32654156
2.873580933,69.37106255,42.32657732,13.3856144,69.37106255,42.32657732,10.16320896,69.37106255,42.32657732,35.21338654,69.37106255,42.32657732
2.862201214,69.3507754,42.3266095,13.46147728,69.3507754,42.3266095,10.04224205,69.3507754,42.3266095,35.55733871,69.3507754,42.3266095
2.89670229,69.3304882,42.32663811,13.84023857,69.3304882,42.32663811,10.77122021,69.3304882,42.32663811,36.29813385,69.3304882,42.32663811
2.89670229,69.31020096,42.32666314,13.84023857,69.31020096,42.32666314,9.999566078,69.31020096,42.32666314,34.82622528,69.31020096,42.32666314
2.897885323,69.28991369,42.3266846,14.05634785,69.28991369,42.3266846,10.44140625,69.28991369,42.3266846,35.34199524,69.28991369,42.3266846
2.897885323,69.26962639,42.32670248,14.05634785,69.26962639,42.32670248,10.82246971,69.26962639,42.32670248,35.50239944,69.26962639,42.32670248
2.89015007,69.24933907,42.32671678,14.13278866,69.24933907,42.32671678,10.10056019,69.24933907,42.32671678,34.73192978,69.24933907,42.32671678
2.866618395,69.22905173,42.32672751,14.36802101,69.22905173,42.32672751,10.2513752,69.22905173,42.32672751,33.34700775,69.22905173,42.32672751
2.866618395,69.20876437,42.32673466,14.36802101,69.20876437,42.32673466,10.01924419,69.20876437,42.32673466,34.53408432,69.20876437,42.32673466
2.970125675,69.18847701,42.32673824,14.45934391,69.18847701,42.32673824,10.84915447,69.18847701,42.32673824,34.74540329,69.18847701,42.32673824
2.970125675,69.16818965,42.32673824,14.45934391,69.16818965,42.32673824,10.66488743,69.16818965,42.32673824,35.6512413,69.16818965,42.32673824
3.145451784,69.14790229,42.32673466,14.35796165,69.14790229,42.32673466,10.46275997,69.14790229,42.32673466,35.05091858,69.14790229,42.32673466
3.029671907,69.12761494,42.32672751,14.22213173,69.12761494,42.32672751,10.72525692,69.12761494,42.32672751,33.00001526,69.12761494,42.32672751
3.029671907,69.1073276,42.32671678,14.22213173,69.1073276,42.32671678,10.3371172,69.1073276,42.32671678,35.11645889,69.1073276,42.32671678
2.966337442,69.08704028,42.32670248,13.86851406,69.08704028,42.32670248,9.646561623,69.08704028,42.32670248,33.85956573,69.08704028,42.32670248
2.966337442,69.06675298,42.3266846,13.86851406,69.06675298,42.3266846,10.36515427,69.06675298,42.3266846,35.10874939,69.06675298,42.3266846
2.82461524,69.04646571,42.32666314,13.52347755,69.04646571,42.32666314,10.05208778,69.04646571,42.32666314,31.44821548,69.04646571,42.32666314
2.769449949,69.02617847,42.32663811,13.54054165,69.02617847,42.32663811,9.793317795,69.02617847,42.32663811,30.39042473,69.02617847,42.32663811
2.769449949,69.00589127,42.3266095,13.54054165,69.00589127,42.3266095,9.73405838,69.00589127,42.3266095,31.21560669,69.00589127,42.3266095
2.705911398,68.98560411,42.32657732,13.39838791,68.98560411,42.32657732,9.901288986,68.98560411,42.32657732,31.60318565,68.98560411,42.32657732
2.705911398,68.965317,42.32654156,13.39838791,68.965317,42.32654156,9.497219086,68.965317,42.32654156,30.98986816,68.965317,42.32654156
2.693435192,68.94502995,42.32650222,13.55256367,68.94502995,42.32650222,9.235887527,68.94502995,42.32650222,31.51752281,68.94502995,42.32650222
2.773396492,68.92474295,42.32645931,13.34191704,68.92474295,42.32645931,9.226333618,68.92474295,42.32645931,30.99087715,68.92474295,42.32645931
2.773396492,68.90445602,42.32641282,13.34191704,68.90445602,42.32641282,8.519485474,68.90445602,42.32641282,31.66273308,68.90445602,42.32641282
2.737241983,68.88416916,42.32636276,12.97554588,68.88416916,42.32636276,9.496390343,68.88416916,42.32636276,29.45368385,68.88416916,42.32636276
2.737241983,68.86388236,42.32630912,12.97554588,68.86388236,42.32630912,9.060433388,68.86388236,42.32630912,28.21603394,68.86388236,42.32630912
2.614012003,68.84359565,42.3262519,12.55498505,68.84359565,42.3262519,8.629932404,68.84359565,42.3262519,29.51933479,68.84359565,42.3262519
2.708102703,68.82330903,42.32619111,12.41866302,68.82330903,42.32619111,8.733469009,68.82330903,42.32619111,27.69505692,68.82330903,42.32619111
2.806629181,68.80302249,42.32612675,12.72871208,68.80302249,42.32612675,9.114450455,68.80302249,42.32612675,30.43300247,68.80302249,42.32612675
2.834705353,68.78273604,42.3260588,12.8970747,68.78273604,42.3260588,9.756092072,68.78273604,42.3260588,30.71769142,68.78273604,42.3260588
2.834705353,68.7624497,42.32598729,12.8970747,68.7624497,42.32598729,9.848172188,68.7624497,42.32598729,29.45858955,68.7624497,42.32598729
2.940289259,68.74216346,42.32591219,13.31981182,68.74216346,42.32591219,9.981005669,68.74216346,42.32591219,29.32490921,68.74216346,42.32591219
2.869089603,68.72187732,42.32583353,13.73160648,68.72187732,42.32583353,9.739665031,68.72187732,42.32583353,30.00065422,68.72187732,42.32583353
2.869089603,68.70159131,42.32575128,13.73160648,68.70159131,42.32575128,10.08354473,68.70159131,42.32575128,32.99051666,68.70159131,42.32575128
2.930391788,68.68130541,42.32566546,14.10344601,68.68130541,42.32566546,9.794986725,68.68130541,42.32566546,32.84699249,68.68130541,42.32566546
2.930391788,68.66101964,42.32557607,14.10344601,68.66101964,42.32557607,9.892794609,68.66101964,42.32557607,33.64504242,68.66101964,42.32557607
2.994620085,68.64073399,42.3254831,14.16805077,68.64073399,42.3254831,9.89599514,68.64073399,42.3254831,34.40836334,68.64073399,42.3254831
3.013484478,68.62044848,42.32538655,14.39240456,68.62044848,42.32538655,10.57356834,68.62044848,42.32538655,32.88887024,68.62044848,42.32538655
3.013484478,68.60016311,42.32528643,14.39240456,68.60016311,42.32528643,10.26164722,68.60016311,42.32528643,34.72728729,68.60016311,42.32528643
2.982765913,68.57987789,42.32518274,14.22502899,68.57987789,42.32518274,10.76252937,68.57987789,42.32518274,36.1403389,68.57987789,42.32518274
2.982765913,68.55959282,42.32507547,14.22502899,68.55959282,42.32507547,10.2530899,68.55959282,42.32507547,34.30368042,68.55959282,42.32507547
2.967060089,68.5393079,42.32496463,14.04817963,68.5393079,42.32496463,10.33264446,68.5393079,42.32496463,34.01590347,68.5393079,42.32496463
2.851548433,68.51902314,42.32485021,13.80830669,68.51902314,42.32485021,9.693515778,68.51902314,42.32485021,29.69428062,68.51902314,42.32485021
2.851548433,68.49873855,42.32473222,13.80830669,68.49873855,42.32473222,9.495843887,68.49873855,42.32473222,31.76659203,68.49873855,42.32473222
2.752689123,68.47845412,42.32461065,13.38729095,68.47845412,42.32461065,8.531366348,68.47845412,42.32461065,32.40032959,68.47845412,42.32461065
2.752689123,68.45816988,42.32448551,13.38729095,68.45816988,42.32448551,9.415154457,68.45816988,42.32448551,27.60864258,68.45816988,42.32448551
2.711261034,68.43788581,42.32435679,13.16119289,68.43788581,42.32435679,8.558990479,68.43788581,42.32435679,27.86967278,68.43788581,42.32435679
2.569939137,68.41760193,42.3242245,12.94440174,68.41760193,42.3242245,8.967494011,68.41760193,42.3242245,27.95910263,68.41760193,42.3242245
2.569939137,68.39731824,42.32408863,12.94440174,68.39731824,42.32408863,8.714729309,68.39731824,42.32408863,27.83860588,68.39731824,42.32408863
2.592970371,68.37703474,42.3239492,13.02297211,68.37703474,42.3239492,8.236073494,68.37703474,42.3239492,28.03089333,68.37703474,42.3239492
2.592970371,68.35675145,42.32380618,13.02297211,68.35675145,42.32380618,9.805473328,68.35675145,42.32380618,25.93613052,68.35675145,42.32380618
